candidate_id,slug,president_name,vicepresident_name,ballot_position,watchlist_active,watchlist_priority,coalition,party_or_group,source_url,source_date,tracking_note,photo_url,photo_alt,photo_credit,photo_source_url,total_claims,total_sources,total_analysis_notes,top_topics,last_event_date,ideology_score,ideology_label,ideology_signal_count,ideology_rationale
ivan-cepeda,ivan-cepeda,Iván Cepeda Castro,Aída Marina Quilcué Vivas,1,TRUE,1,Pacto Histórico,Pacto Histórico,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Watchlist inicial por relevancia electoral y cobertura pública.,https://upload.wikimedia.org/wikipedia/commons/5/58/Perfil_Iv%C3%A1n_Cepeda_%28cropped%29.jpg,Foto de Iván Cepeda,Wikimedia Commons,https://es.wikipedia.org/wiki/Iv%C3%A1n_Cepeda,26,15,0,"Trayectoria pública, Fiscal, Empleo y empresa",2026-05-21,-1,Izquierda,3,"Se apoya en señales como paz-total (paz negociada), acceso-tierra (reforma rural), transicion-energetica (transicion energetica)."
clara-lopez,clara-lopez,Clara Eugenia López Obregón,María Consuelo del Río Mantilla,2,FALSE,99,NA,NA,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Pendiente de priorización.,NA,NA,NA,NA,8,4,0,"Trayectoria pública, Educación superior, Vida pública y trayectoria",2026-05-21,NA,Señales programáticas pendientes,0,Todavía no hay suficientes señales programáticas mapeadas para ubicarlo en el espectro.
claudia-lopez,claudia-lopez,Claudia Nayibe López Hernández,Leonardo Humberto Huerta Gutiérrez,3,TRUE,4,NA,NA,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Watchlist inicial por relevancia electoral y cobertura pública.,https://upload.wikimedia.org/wikipedia/commons/c/cf/Claudia_Lopez_H_26.jpg,Foto de Claudia López,Wikimedia Commons,https://en.wikipedia.org/wiki/Claudia_L%C3%B3pez,30,13,0,"Trayectoria pública, Vida pública y trayectoria, Educación superior",2026-05-21,-0.378238341968912,Centroizquierda,7,"Se apoya en señales como sistema-cuidado (sistema de cuidado), violencias-de-genero (derechos de genero), fuerza-publica (fortalecimiento fuerza publica)."
raul-botero,raul-botero,Raúl Santiago Botero Jaramillo,Carlos Fernando Cuevas Romero,4,FALSE,99,NA,NA,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Pendiente de priorización.,NA,NA,NA,NA,7,2,0,"Defensa y soberanía, Productividad y crecimiento, Justicia e instituciones penales",2026-04-18,1,Centroderecha,2,"Se apoya en señales como pena-de-muerte (pena de muerte), fortalecer-fuerza-publica (fortalecimiento militar y policial)."
abelardo-de-la-espriella,abelardo-de-la-espriella,Abelardo Gabriel de la Espriella,José Manuel Restrepo Abondano,5,TRUE,2,NA,NA,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Watchlist inicial por relevancia electoral y cobertura pública.,https://upload.wikimedia.org/wikipedia/commons/7/7b/A_de_la_Espriella.jpg,Foto de Abelardo de la Espriella,Wikimedia Commons,https://es.wikipedia.org/wiki/Abelardo_de_la_Espriella,23,9,0,"Reforma política, Productividad y crecimiento, Vida pública y trayectoria",2026-05-21,1,Derecha,6,"Se apoya en señales como recorte-del-estado (recorte del Estado), megacarceles (expansion carcelaria), jep (justicia transicional)."
mauricio-lizcano,mauricio-lizcano,Óscar Mauricio Lizcano Arango,Pedro Luis de la Torre Márquez,6,FALSE,99,NA,NA,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Pendiente de priorización.,NA,NA,NA,NA,13,7,0,"Trayectoria pública, Productividad y crecimiento, Redes políticas y familiares",2026-05-21,1,Centroderecha,2,"Se apoya en señales como seguridad-tecnologica (seguridad tecnologica), productividad-tecnologica (crecimiento tecnologico)."
miguel-uribe,miguel-uribe,Miguel Uribe Londoño,Luisa Fernanda Villegas Araque,7,FALSE,99,NA,NA,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Pendiente de priorización.,NA,NA,NA,NA,6,4,0,"Trayectoria pública, Vida pública y trayectoria",2026-05-21,NA,Señales programáticas pendientes,0,Todavía no hay suficientes señales programáticas mapeadas para ubicarlo en el espectro.
sondra-macollins,sondra-macollins,Sondra Macollins Garvin Pinto,Leonardo Karam Helo,8,FALSE,99,NA,NA,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Pendiente de priorización.,NA,NA,NA,NA,3,1,0,"Defensa y soberanía, Controversias públicas",2026-04-18,NA,Señales programáticas pendientes,0,Todavía no hay suficientes señales programáticas mapeadas para ubicarlo en el espectro.
roy-barreras,roy-barreras,Roy Leonardo Barreras Montealegre,Martha Lucía Zamora Ávila,9,FALSE,99,NA,NA,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Pendiente de priorización.,NA,NA,NA,NA,9,6,0,"Trayectoria pública, Justicia e instituciones penales, Paz y conflicto armado",2026-05-21,1,Centroderecha,2,"Se apoya en señales como reactivar-productividad (reactivacion productiva), paz-con-metodo (paz judicializada)."
carlos-caicedo,carlos-caicedo,Carlos Eduardo Caicedo Omar,Nelson Javier Alarcón Suárez,10,FALSE,99,NA,NA,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Pendiente de priorización.,NA,NA,NA,NA,10,6,0,"Trayectoria pública, Educación superior, Paz y conflicto armado",2026-05-21,-1,Centroizquierda,1,Se apoya en señales como pagar-por-estudiar (transferencia educativa).
gustavo-matamoros,gustavo-matamoros,Gustavo Matamoros Camacho,Mila María Paz Campaz,11,FALSE,99,NA,NA,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Pendiente de priorización.,NA,NA,NA,NA,7,5,0,"Trayectoria pública, Paz y conflicto armado, Vida pública y trayectoria",2026-05-21,NA,Señales programáticas pendientes,0,Todavía no hay suficientes señales programáticas mapeadas para ubicarlo en el espectro.
paloma-valencia,paloma-valencia,Paloma Susana Valencia Laserna,Juan Daniel Oviedo Arango,12,TRUE,3,NA,NA,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Watchlist inicial por relevancia electoral y cobertura pública.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Discurso_Paloma_Valencia.jpg/960px-Discurso_Paloma_Valencia.jpg,Foto de Paloma Valencia,Wikimedia Commons,https://es.wikipedia.org/wiki/Paloma_Valencia,33,16,0,"Vida pública y trayectoria, Trayectoria pública, Salud",2026-05-21,1,Derecha,6,"Se apoya en señales como bonos-escolares (bonos escolares), ampliacion-pie-fuerza (expansion del pie de fuerza), carceles-agricolas (endurecimiento penal)."
sergio-fajardo,sergio-fajardo,Sergio Fajardo Valderrama,Edna Cristina del Socorro Bonilla Seba,13,TRUE,5,NA,NA,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Watchlist inicial por relevancia electoral y cobertura pública.,https://upload.wikimedia.org/wikipedia/commons/a/aa/Sergio_Fajardo_2025.jpg,Foto de Sergio Fajardo,Wikimedia Commons,https://en.wikipedia.org/wiki/Sergio_Fajardo,24,12,0,"Trayectoria pública, Salud, Seguridad ciudadana",2026-05-21,0.20000000000000004,Centroderecha,3,"Se apoya en señales como reconstruir-fuerza-publica (orden y seguridad), protagonismo-mujeres (agenda de genero), dialogos-paz-condicionados (paz condicionada)."
luis-gilberto-murillo,luis-gilberto-murillo,Luis Gilberto Murillo Urrutia,Luz María Zapata Zapata,14,TRUE,6,NA,NA,https://www.registraduria.gov.co/Conozca-la-posicion-de-los-candidatos-presidenciales-en-la-tarjeta-electoral.html,2026-03-25,Watchlist inicial por relevancia electoral y cobertura pública.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/20240521_posesi%C3%B3n_canciller_Murillo-Joel_Gonz%C3%A1lez1536_%28Cropped%29.jpg/960px-20240521_posesi%C3%B3n_canciller_Murillo-Joel_Gonz%C3%A1lez1536_%28Cropped%29.jpg,Foto de Luis Gilberto Murillo,Wikimedia Commons,https://en.wikipedia.org/wiki/Luis_Gilberto_Murillo,20,10,0,"Trayectoria pública, Vida pública y trayectoria, Relaciones exteriores",2026-05-21,-0.13265306122448978,Centro,5,"Se apoya en señales como desarrollo-regiones-olvidadas (correccion territorial), desarrollo-talento (movilidad educativa), seguridad-focalizada (seguridad territorial focalizada)."
