source_analysis_id,source_id,candidate_id,topic_id,substantive_summary,policy_positions,ideology_signals,chronology_summary,evidence_state,source_ids,claim_ids
source-analysis-src-20260418-abelardo-infobae,src-20260418-abelardo-infobae,abelardo-de-la-espriella,fiscal|paz|justicia|defensa|productividad|salud,"La fuente Infobae aporta evidencia sobre Fiscal, Paz y conflicto armado, Justicia e instituciones penales, Defensa y soberanía, Productividad y crecimiento, Salud. En términos sustantivos, registra: El candidato plantea desmontar la jurisdicción transicional vigente. | Infobae reporta que de la Espriella quiere reducir drásticamente la estructura estatal. | Infobae reporta una expansión carcelaria radical en la propuesta de de la Espriella. | La campaña de de la Espriella promete un plan de choque sanitario. | De la Espriella enlaza recorte del Estado con alivios tributarios. | De la Espriella promete reactivar varios sectores como base del crecimiento. | La propuesta de seguridad de de la Espriella combina cooperación internacional y fuerza dura..",El candidato plantea desmontar la jurisdicción transicional vigente. | Infobae reporta que de la Espriella quiere reducir drásticamente la estructura estatal. | Infobae reporta una expansión carcelaria radical en la propuesta de de la Espriella. | La campaña de de la Espriella promete un plan de choque sanitario. | De la Espriella enlaza recorte del Estado con alivios tributarios. | De la Espriella promete reactivar varios sectores como base del crecimiento. | La propuesta de seguridad de de la Espriella combina cooperación internacional y fuerza dura.,"rol económico del Estado, seguridad, justicia y paz, ambiente y modelo productivo",Infobae reporta que de la Espriella quiere reducir drásticamente la estructura estatal.,trazable_con_cautela,src-20260418-abelardo-infobae,claim-20260418-abelardo-estado|claim-20260418-abelardo-jep|claim-20260418-abelardo-impuestos|claim-20260418-abelardo-carceles|claim-20260418-abelardo-seguridad|claim-20260418-abelardo-economia|claim-20260418-abelardo-salud|src-20260418-abelardo-infobae-claim-1
source-analysis-src-20260418-abelardo-profile,src-20260418-abelardo-profile,abelardo-de-la-espriella,controversias-publicas|productividad,"La fuente RTVC Noticias aporta evidencia sobre Controversias públicas, Productividad y crecimiento. En términos sustantivos, registra: RTVC describe a Abelardo de la Espriella como abogado penalista y empresario de alta exposición. | Abogado penalista y empresario; su perfil público está ligado a clientes judiciales polémicos. | Abogado penalista y empresario; su perfil público está ligado a clientes judiciales polémicos.",RTVC describe a Abelardo de la Espriella como abogado penalista y empresario de alta exposición. | Abogado penalista y empresario; su perfil público está ligado a clientes judiciales polémicos. | Abogado penalista y empresario; su perfil público está ligado a clientes judiciales polémicos,relación Estado-mercado,Abogado penalista y empresario; su perfil público está ligado a clientes judiciales polémicos,trazable_con_cautela,src-20260418-abelardo-profile,claim-20260418-abelardo-bio|src-20260418-abelardo-profile-claim-1|src-20260418-abelardo-profile-claim-2
source-analysis-src-20260418-caicedo-caracol,src-20260418-caicedo-caracol,carlos-caicedo,educacion-superior,"La fuente Noticias Caracol aporta evidencia sobre Educación superior. En términos sustantivos, registra: Pagar por estudiar para evitar la deserción y ampliar acceso educativo | Carlos Caicedo pone la educación como eje central de su plataforma..",Pagar por estudiar para evitar la deserción y ampliar acceso educativo | Carlos Caicedo pone la educación como eje central de su plataforma.,"La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.",Pagar por estudiar para evitar la deserción y ampliar acceso educativo,trazable_con_cautela,src-20260418-caicedo-caracol,claim-20260418-carlos-educacion|src-20260418-caicedo-caracol-claim-1|src-20260418-caicedo-caracol-claim-2
source-analysis-src-20260418-carlos-profile,src-20260418-carlos-profile,carlos-caicedo,trayectoria-publica,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública. En términos sustantivos, registra: RTVC resalta el arraigo regional de Carlos Caicedo. | Exgobernador del Magdalena y exalcalde de Santa Marta; apuesta regional caribeña. | Exgobernador del Magdalena y exalcalde de Santa Marta; apuesta regional caribeña.",RTVC resalta el arraigo regional de Carlos Caicedo. | Exgobernador del Magdalena y exalcalde de Santa Marta; apuesta regional caribeña. | Exgobernador del Magdalena y exalcalde de Santa Marta; apuesta regional caribeña,"La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.",Exgobernador del Magdalena y exalcalde de Santa Marta; apuesta regional caribeña,trazable_con_cautela,src-20260418-carlos-profile,claim-20260418-carlos-bio|src-20260418-carlos-profile-claim-1|src-20260418-carlos-profile-claim-2
source-analysis-src-20260418-clara-profile,src-20260418-clara-profile,clara-lopez,trayectoria-publica|educacion-superior,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública, Educación superior. En términos sustantivos, registra: RTVC resume la larga trayectoria pública de Clara López. | Exministra, exsenadora y exalcaldesa encargada de Bogotá; representó una izquierda moderada. | Exministra, exsenadora y exalcaldesa encargada de Bogotá; representó una izquierda moderada.","RTVC resume la larga trayectoria pública de Clara López. | Exministra, exsenadora y exalcaldesa encargada de Bogotá; representó una izquierda moderada. | Exministra, exsenadora y exalcaldesa encargada de Bogotá; representó una izquierda moderada","La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.","Exministra, exsenadora y exalcaldesa encargada de Bogotá; representó una izquierda moderada",trazable_con_cautela,src-20260418-clara-profile,claim-20260418-clara-bio|src-20260418-clara-profile-claim-1|src-20260418-clara-profile-claim-2
source-analysis-src-20260418-clara-renuncia,src-20260418-clara-renuncia,clara-lopez,vida-publica|trayectoria-publica,"La fuente Infobae aporta evidencia sobre Vida pública y trayectoria, Trayectoria pública. En términos sustantivos, registra: La renuncia fue formalizada ante la Registraduría y deja su casilla en blanco.",La renuncia fue formalizada ante la Registraduría y deja su casilla en blanco,"La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.",La renuncia fue formalizada ante la Registraduría y deja su casilla en blanco,trazable_con_cautela,src-20260418-clara-renuncia,claim-20260418-clara-renuncia|src-20260418-clara-renuncia-claim-1|src-20260418-clara-renuncia-claim-2
source-analysis-src-20260418-claudia-forbes,src-20260418-claudia-forbes,claudia-lopez,fiscal|aseguramiento-salud|salud,"La fuente Forbes Colombia aporta evidencia sobre Fiscal, Aseguramiento y financiación, Salud. En términos sustantivos, registra: Continuidad selectiva de reformas, nueva regla fiscal y modelo mixto de salud. | Forbes reporta que Claudia López propone una nueva regla fiscal con reducción tributaria condicionada. | Forbes registra que Claudia López defiende un modelo mixto de salud..","Continuidad selectiva de reformas, nueva regla fiscal y modelo mixto de salud. | Forbes reporta que Claudia López propone una nueva regla fiscal con reducción tributaria condicionada. | Forbes registra que Claudia López defiende un modelo mixto de salud.","rol económico del Estado, relación Estado-mercado",Forbes reporta que Claudia López propone una nueva regla fiscal con reducción tributaria condicionada.,trazable_con_cautela,src-20260418-claudia-forbes,claim-20260418-claudia-fiscal|claim-20260418-claudia-salud|src-20260418-claudia-forbes-claim-1|src-20260418-claudia-forbes-claim-2
source-analysis-src-20260418-claudia-profile,src-20260418-claudia-profile,claudia-lopez,trayectoria-publica|educacion-superior,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública, Educación superior. En términos sustantivos, registra: RTVC perfila a Claudia López desde su paso por el Senado y la Alcaldía de Bogotá. | Exalcaldesa de Bogotá y exsenadora; ganó la Consulta de las Soluciones. | Exalcaldesa de Bogotá y exsenadora; ganó la Consulta de las Soluciones.",RTVC perfila a Claudia López desde su paso por el Senado y la Alcaldía de Bogotá. | Exalcaldesa de Bogotá y exsenadora; ganó la Consulta de las Soluciones. | Exalcaldesa de Bogotá y exsenadora; ganó la Consulta de las Soluciones,"La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.",Exalcaldesa de Bogotá y exsenadora; ganó la Consulta de las Soluciones,trazable_con_cautela,src-20260418-claudia-profile,claim-20260418-claudia-bio|src-20260418-claudia-profile-claim-1|src-20260418-claudia-profile-claim-2
source-analysis-src-20260418-claudia-program,src-20260418-claudia-program,claudia-lopez,seguridad-ciudadana|justicia|proteccion-social|genero-diversidad|educacion-superior|vivienda|agua-ambiente|trayectoria-publica|vida-publica,"La fuente Claudia López aporta evidencia sobre Seguridad ciudadana, Justicia e instituciones penales, Protección social, Género y diversidad, Educación superior, Vivienda, Agua y ambiente, Trayectoria pública, Vida pública y trayectoria. En términos sustantivos, registra: Seguridad, igualdad y desarrollo regional como acuerdos transversales | Claudia López pone el cuidado en el centro de su propuesta social. | El programa de Claudia López usa educación y productividad como motores de desarrollo. | El programa oficial de Claudia López prioriza seguridad y control territorial. | La propuesta oficial incluye vivienda y construcción como palanca de empleo. | La campaña de Claudia López combina sanción dura con segundas oportunidades. | La campaña de Claudia López conecta el sistema de cuidado con protección contra violencias. | La campaña de Claudia López trata el agua como derecho y bien común..","Seguridad, igualdad y desarrollo regional como acuerdos transversales | Claudia López pone el cuidado en el centro de su propuesta social. | El programa de Claudia López usa educación y productividad como motores de desarrollo. | El programa oficial de Claudia López prioriza seguridad y control territorial. | La propuesta oficial incluye vivienda y construcción como palanca de empleo. | La campaña de Claudia López combina sanción dura con segundas oportunidades. | La campaña de Claudia López conecta el sistema de cuidado con protección contra violencias. | La campaña de Claudia López trata el agua como derecho y bien común.","rol económico del Estado, relación Estado-mercado, seguridad, justicia y paz, derechos y agenda social","Seguridad, igualdad y desarrollo regional como acuerdos transversales",trazable_con_cautela,src-20260418-claudia-program,claim-20260418-claudia-seguridad|claim-20260418-claudia-justicia|claim-20260418-claudia-cuidado|claim-20260418-claudia-genero|claim-20260418-claudia-educacion|claim-20260418-claudia-vivienda|claim-20260418-claudia-agua|src-20260418-claudia-program-claim-1|src-20260418-claudia-program-claim-2
source-analysis-src-20260418-fajardo-official,src-20260418-fajardo-official,sergio-fajardo,seguridad-ciudadana|paz|anticorrupcion|aseguramiento-salud|genero-diversidad|salud,"La fuente Sergio Fajardo aporta evidencia sobre Seguridad ciudadana, Paz y conflicto armado, Anticorrupción y transparencia, Aseguramiento y financiación, Género y diversidad, Salud. En términos sustantivos, registra: Fajardo condiciona los diálogos con grupos armados a resultados concretos. | Fajardo diagnostica caos por incompetencia y opacidad en salud. | La propuesta anticorrupción de Fajardo enfatiza prevención y reacción coordinada. | La página de campaña de Fajardo dedica un eje específico a mujeres. | La página oficial de Sergio Fajardo centra su apertura de campaña en seguridad..",Fajardo condiciona los diálogos con grupos armados a resultados concretos. | Fajardo diagnostica caos por incompetencia y opacidad en salud. | La propuesta anticorrupción de Fajardo enfatiza prevención y reacción coordinada. | La página de campaña de Fajardo dedica un eje específico a mujeres. | La página oficial de Sergio Fajardo centra su apertura de campaña en seguridad.,"seguridad, justicia y paz, derechos y agenda social",La página oficial de Sergio Fajardo centra su apertura de campaña en seguridad.,trazable_con_cautela,src-20260418-fajardo-official,claim-20260418-fajardo-seguridad|claim-20260418-fajardo-paz|claim-20260418-fajardo-anticorrupcion|claim-20260418-fajardo-salud|claim-20260418-fajardo-mujeres|src-20260418-fajardo-official-claim-1
source-analysis-src-20260418-gustavo-profile,src-20260418-gustavo-profile,gustavo-matamoros,trayectoria-publica,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública. En términos sustantivos, registra: RTVC describe a Gustavo Matamoros desde su carrera militar. | General retirado; centra su campaña en seguridad y presencia institucional. | General retirado; centra su campaña en seguridad y presencia institucional.",RTVC describe a Gustavo Matamoros desde su carrera militar. | General retirado; centra su campaña en seguridad y presencia institucional. | General retirado; centra su campaña en seguridad y presencia institucional,"seguridad, justicia y paz",General retirado; centra su campaña en seguridad y presencia institucional,trazable_con_cautela,src-20260418-gustavo-profile,claim-20260418-gustavo-bio|src-20260418-gustavo-profile-claim-1|src-20260418-gustavo-profile-claim-2
source-analysis-src-20260418-ivan-anticorrup,src-20260418-ivan-anticorrup,ivan-cepeda,anticorrupcion|trayectoria-publica,"La fuente Pacto Histórico aporta evidencia sobre Anticorrupción y transparencia, Trayectoria pública. En términos sustantivos, registra: La campaña de Cepeda anuncia una Ley Nacional contra la corrupción..",La campaña de Cepeda anuncia una Ley Nacional contra la corrupción.,"La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.",La campaña de Cepeda anuncia una Ley Nacional contra la corrupción.,trazable_con_cautela,src-20260418-ivan-anticorrup,claim-20260418-ivan-anticorrupcion|src-20260418-ivan-anticorrup-claim-1|src-20260418-ivan-anticorrup-claim-2
source-analysis-src-20260418-ivan-economia,src-20260418-ivan-economia,ivan-cepeda,fiscal|transicion-energetica,"La fuente Infobae aporta evidencia sobre Fiscal, Transición energética. En términos sustantivos, registra: Continuidad macroeconómica con responsabilidad fiscal y transición energética. | Cepeda plantea una transición energética concertada con actores productivos y sociales. | Infobae reporta que Cepeda promete continuidad macroeconómica frente al gobierno Petro..",Continuidad macroeconómica con responsabilidad fiscal y transición energética. | Cepeda plantea una transición energética concertada con actores productivos y sociales. | Infobae reporta que Cepeda promete continuidad macroeconómica frente al gobierno Petro.,relación Estado-mercado,Continuidad macroeconómica con responsabilidad fiscal y transición energética.,trazable_con_cautela,src-20260418-ivan-economia,claim-20260418-ivan-economia|claim-20260418-ivan-transicion|src-20260418-ivan-economia-claim-1
source-analysis-src-20260418-ivan-profile,src-20260418-ivan-profile,ivan-cepeda,trayectoria-publica|defensa,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública, Defensa y soberanía. En términos sustantivos, registra: RTVC ubica a Iván Cepeda como senador y defensor de derechos humanos. | Senador y filósofo; la defensa de derechos humanos marcó su trayectoria..",RTVC ubica a Iván Cepeda como senador y defensor de derechos humanos. | Senador y filósofo; la defensa de derechos humanos marcó su trayectoria.,"seguridad, justicia y paz",RTVC ubica a Iván Cepeda como senador y defensor de derechos humanos.,trazable_con_cautela,src-20260418-ivan-profile,claim-20260418-ivan-bio|src-20260418-ivan-profile-claim-1
source-analysis-src-20260418-ivan-program-home,src-20260418-ivan-program-home,ivan-cepeda,paz|justicia,"La fuente Pacto Histórico aporta evidencia sobre Paz y conflicto armado, Justicia e instituciones penales. En términos sustantivos, registra: Programa para profundizar justicia social y paz total. | La página oficial de campaña presenta la profundización de la paz total como parte central del programa..",Programa para profundizar justicia social y paz total. | La página oficial de campaña presenta la profundización de la paz total como parte central del programa.,"seguridad, justicia y paz",Programa para profundizar justicia social y paz total.,trazable_con_cautela,src-20260418-ivan-program-home,claim-20260418-ivan-paz-total|src-20260418-ivan-program-home-claim-1
source-analysis-src-20260418-ivan-tunja,src-20260418-ivan-tunja,ivan-cepeda,tierras|transporte|transicion-energetica,"La fuente Pacto Histórico aporta evidencia sobre Tierras y desarrollo rural, Transporte e infraestructura, Transición energética. En términos sustantivos, registra: La agenda en Boyacá incluye tierra para los campesinos. | La campaña en Tunja incluye transporte férreo para Boyacá..",La agenda en Boyacá incluye tierra para los campesinos. | La campaña en Tunja incluye transporte férreo para Boyacá.,"La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.",La agenda en Boyacá incluye tierra para los campesinos.,trazable_con_cautela,src-20260418-ivan-tunja,claim-20260418-ivan-tierras|claim-20260418-ivan-tren|src-20260418-ivan-tunja-claim-1
source-analysis-src-20260418-mauricio-caracol,src-20260418-mauricio-caracol,mauricio-lizcano,seguridad-ciudadana|trayectoria-publica,"La fuente Noticias Caracol aporta evidencia sobre Seguridad ciudadana, Trayectoria pública. En términos sustantivos, registra: Seguridad con ministro activo, bloques élite y tecnología en taxis. | Noticias Caracol recoge una agenda de seguridad fuertemente tecnificada..","Seguridad con ministro activo, bloques élite y tecnología en taxis. | Noticias Caracol recoge una agenda de seguridad fuertemente tecnificada.","seguridad, justicia y paz","Seguridad con ministro activo, bloques élite y tecnología en taxis.",trazable_con_cautela,src-20260418-mauricio-caracol,claim-20260418-mauricio-seguridad|src-20260418-mauricio-caracol-claim-1|src-20260418-mauricio-caracol-claim-2
source-analysis-src-20260418-mauricio-espectador,src-20260418-mauricio-espectador,mauricio-lizcano,productividad,"La fuente EL ESPECTADOR aporta evidencia sobre Productividad y crecimiento. En términos sustantivos, registra: El Espectador reporta que Lizcano quiere duplicar el ingreso per cápita..",El Espectador reporta que Lizcano quiere duplicar el ingreso per cápita.,"seguridad, justicia y paz",El Espectador reporta que Lizcano quiere duplicar el ingreso per cápita.,trazable_con_cautela,src-20260418-mauricio-espectador,claim-20260418-mauricio-ingresos|src-20260418-mauricio-espectador-claim-1|src-20260418-mauricio-espectador-claim-2
source-analysis-src-20260418-mauricio-profile,src-20260418-mauricio-profile,mauricio-lizcano,redes-poder|trayectoria-publica,"La fuente RTVC Noticias aporta evidencia sobre Redes políticas y familiares, Trayectoria pública. En términos sustantivos, registra: RTVC ubica a Mauricio Lizcano en una trayectoria de gobierno y origen político familiar. | Exministro TIC y exdirector del DAPRE; hijo del excongresista Óscar Tulio Lizcano. | Exministro TIC y exdirector del DAPRE; hijo del excongresista Óscar Tulio Lizcano.",RTVC ubica a Mauricio Lizcano en una trayectoria de gobierno y origen político familiar. | Exministro TIC y exdirector del DAPRE; hijo del excongresista Óscar Tulio Lizcano. | Exministro TIC y exdirector del DAPRE; hijo del excongresista Óscar Tulio Lizcano,derechos y agenda social,Exministro TIC y exdirector del DAPRE; hijo del excongresista Óscar Tulio Lizcano,trazable_con_cautela,src-20260418-mauricio-profile,claim-20260418-mauricio-bio|src-20260418-mauricio-profile-claim-1|src-20260418-mauricio-profile-claim-2
source-analysis-src-20260418-miguel-profile,src-20260418-miguel-profile,miguel-uribe,trayectoria-publica,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública. En términos sustantivos, registra: RTVC presenta a Miguel Uribe Londoño desde su perfil académico y docente. | Economista, abogado, periodista y docente; compite desde la centroderecha. | Economista, abogado, periodista y docente; compite desde la centroderecha.","RTVC presenta a Miguel Uribe Londoño desde su perfil académico y docente. | Economista, abogado, periodista y docente; compite desde la centroderecha. | Economista, abogado, periodista y docente; compite desde la centroderecha","La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.","Economista, abogado, periodista y docente; compite desde la centroderecha",trazable_con_cautela,src-20260418-miguel-profile,claim-20260418-miguel-bio|src-20260418-miguel-profile-claim-1|src-20260418-miguel-profile-claim-2
source-analysis-src-20260418-murillo-elpais,src-20260418-murillo-elpais,luis-gilberto-murillo,desigualdad|educacion,"La fuente El País Cali aporta evidencia sobre Desigualdad y movilidad, Educación. En términos sustantivos, registra: El País Cali registra que Murillo pone las regiones olvidadas en el centro..",El País Cali registra que Murillo pone las regiones olvidadas en el centro.,"La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.",El País Cali registra que Murillo pone las regiones olvidadas en el centro.,trazable_con_cautela,src-20260418-murillo-elpais,claim-20260418-murillo-regiones|src-20260418-murillo-elpais-claim-1
source-analysis-src-20260418-murillo-espectador,src-20260418-murillo-espectador,luis-gilberto-murillo,educacion-superior|seguridad-ciudadana|relaciones-exteriores|productividad|educacion,"La fuente EL ESPECTADOR aporta evidencia sobre Educación superior, Seguridad ciudadana, Relaciones exteriores, Productividad y crecimiento, Educación. En términos sustantivos, registra: Murillo enfatiza la relación empresa-Estado-comunidades para el desarrollo. | Murillo plantea la educación como mecanismo para no desperdiciar talento. | Murillo propone una respuesta territorializada a la seguridad. | Murillo vincula infraestructura y comercio exterior como eje económico..",Murillo enfatiza la relación empresa-Estado-comunidades para el desarrollo. | Murillo plantea la educación como mecanismo para no desperdiciar talento. | Murillo propone una respuesta territorializada a la seguridad. | Murillo vincula infraestructura y comercio exterior como eje económico.,"rol económico del Estado, relación Estado-mercado, seguridad, justicia y paz",Murillo plantea la educación como mecanismo para no desperdiciar talento.,trazable_con_cautela,src-20260418-murillo-espectador,claim-20260418-murillo-educacion|claim-20260418-murillo-seguridad|claim-20260418-murillo-puertos|claim-20260418-murillo-alianza|src-20260418-murillo-espectador-claim-1
source-analysis-src-20260418-murillo-profile,src-20260418-murillo-profile,luis-gilberto-murillo,trayectoria-publica,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública. En términos sustantivos, registra: RTVC resume la trayectoria diplomática y regional de Luis Gilberto Murillo. | Excanciller y exgobernador; desarrollo sostenible e inclusión regional marcan su trayectoria. | Excanciller y exgobernador; desarrollo sostenible e inclusión regional marcan su trayectoria.",RTVC resume la trayectoria diplomática y regional de Luis Gilberto Murillo. | Excanciller y exgobernador; desarrollo sostenible e inclusión regional marcan su trayectoria. | Excanciller y exgobernador; desarrollo sostenible e inclusión regional marcan su trayectoria,"rol económico del Estado, ambiente y modelo productivo",Excanciller y exgobernador; desarrollo sostenible e inclusión regional marcan su trayectoria,trazable_con_cautela,src-20260418-murillo-profile,claim-20260418-murillo-bio|src-20260418-murillo-profile-claim-1|src-20260418-murillo-profile-claim-2
